Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de Réservation
SUPER POLYGONE - 64786;SAS ZLS;BE;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SAS ZLS
VOGUE RENTREE 2021 - 70285;SAVANNAH DISTRIBUTION;JA;FLS;Confirmée;Oui;Non;Non;Non;28/07/2021;08/08/2021;87591;0;2216.06;2000.00;10.00;0.00;22.83;87591;0;2000.00;COURT CIRCUIT
PICARD - 65912;SEMOI SAS;JA;CL;Confirmée;Non;Non;Non;Non;01/02/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SEMOI SAS
SHEEFOU - 67096;SHEEFOU;BE;CL;Confirmée;Non;Non;Non;Non;10/03/2021;10/02/2022;0;0;8200.01;4000.00;51.00;0.00;0.00;0;0;4000.00;SHEEFOU
LA HALLE - 69995;SNGR ;JA;CL;Confirmée;Non;Non;Non;Non;12/07/2021;16/08/2021;0;0;1750.00;1400.00;20.00;0.00;0.00;0;0;1400.00;SNGR 
BURO REUNION - 70088;SOBURUN;BC;CL;Confirmée;Non;Non;Non;Non;07/07/2021;14/08/2021;0;0;1500.00;1000.00;33.00;0.00;0.00;0;0;1000.00;SOBURUN
MR BRICOLAGE - 66885;SOREBRIC SAS - MR BRICOLAGE;JA;CL;Confirmée;Non;Non;Non;Non;01/03/2021;31/12/2021;0;0;18500.00;15000.00;19.00;0.00;0.00;0;0;15000.00;SOREBRIC SAS - MR BRICOLAGE
MR BRICOLAGE - 66886;SOREBRIC SAS - MR BRICOLAGE;JA;PROD;Option;Non;Non;Non;Non;01/03/2021;31/12/2021;0;0;500.00;500.00;0.00;0.00;0.00;0;0;500.00;SOREBRIC SAS - MR BRICOLAGE
MR BRICOLAGE SPECIAL RENTREE 21 - 70461;SOREBRIC SAS - MR BRICOLAGE;JA;FLS;Confirmée;Non;Non;Non;Non;28/07/2021;07/08/2021;69469;0;2216.06;2000.00;10.00;0.00;28.79;69469;0;2000.00;VITAMEDIA (Agence HTC)
SORETAL ET ASIA STORE - 64522;SORETAL;AN;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SORETAL
PICARD - 64496;SOSOI ;JA;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SOSOI 
SPEED CLE SERVICES - 66999;SPEED CLE SERVICES;JA;CL;Demande;Non;Non;Non;Non;10/03/2021;28/02/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SPEED CLE SERVICES
SPEED CLE SERVICES - 68395;SPEED CLE SERVICES;JA;CL;Confirmée;Non;Non;Non;Non;01/05/2021;30/04/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;SPEED CLE SERVICES
SFR - 70114;SRR;BE;CL;Confirmée;Non;Non;Non;Non;28/07/2021;31/08/2021;0;0;2850.00;2500.00;12.00;0.00;0.00;0;0;2500.00;MEDIA HUB OUTREMER
SFR BACK TO SCHOOL MOBILE - 69852;SRR;BE;CL;Confirmée;Oui;Non;Non;Non;29/07/2021;16/08/2021;914931;0;10077.19;7180.00;29.00;0.00;7.85;914931;0;7180.00;MEDIA HUB OUTREMER
SFR CAMPAGNE FIXE - 70231;SRR;BE;CL;Confirmée;Non;Non;Non;Non;05/08/2021;23/08/2021;1131248;0;15433.54;10996.43;29.00;0.00;9.72;1131248;0;10996.43;MEDIA HUB OUTREMER
SUPER CATENA - 67713;SUPER CATENA;BC;CL;Confirmée;Non;Non;Non;Non;01/04/2021;31/03/2022;0;0;4600.00;3600.00;22.00;0.00;0.00;0;0;3600.00;SUPER CATENA
TERRANIMO - 70125;TERRANIMO JARDINERIES DE BOURBON;AN;CL;Demande;Non;Non;Non;Non;16/07/2021;16/08/2021;0;0;300.00;300.00;0.00;0.00;0.00;0;0;300.00;TERRANIMO JARDINERIES DE BOURBON
TERRANIMO - 70126;TERRANIMO JARDINERIES DE BOURBON;AN;CL;Demande;Non;Non;Non;Non;08/07/2021;08/07/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;TERRANIMO JARDINERIES DE BOURBON
