Campagne;Nom;Etat;PAD;Date de début prévue;Date de fin prévue;Date de début diffusée;Date de fin diffusée;Annonceur;Responsable commercial;Volume total prévu;Volume payant prévu;Brut prévu;Net prévu;CPM Net payant prévu;CMP Net total prévu;Volume clic prévu;Taux clic prévu;Volume total diffusé;Volume payant diffusé;Brut diffusé;Net diffusé;CPM Net payant diffusé;CMP Net total diffusé;Volume clic diffusé;Taux clic diffusé;Taux d'avancement;Taux d'avancement date;Groupe d'insertions
MR BRICOLAGE - 66885;AOUT DIFFUSION CATALOGUE OFFERTE;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SOREBRIC SAS - MR BRICOLAGE;AUFFRET Jerome;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
MR BRICOLAGE - 66885;AOUT AUTOPROMO RZ S/TV CITATION+VISIBILITE LOGO;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SOREBRIC SAS - MR BRICOLAGE;AUFFRET Jerome;0;0;400.00;400.00;0.00;0.00;0;0.00%;0;0;400.00;400.00;0.00;0.00;0;0.00%;0.00%;0.00%;
MR BRICOLAGE - 66885;AOUT INTERSTITEL RODZAFER;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SOREBRIC SAS - MR BRICOLAGE;AUFFRET Jerome;0;0;550.00;550.00;0.00;0.00;0;0.00%;0;0;550.00;550.00;0.00;0.00;0;0.00%;0.00%;0.00%;
MR BRICOLAGE - 66886;PROD AUTOPROMO RZ S/ TV CITATION+VISIBILITE LOGO;Réservée;Non;01/03/2021;31/12/2021;01/03/2021;31/12/2021;SOREBRIC SAS - MR BRICOLAGE;AUFFRET Jerome;0;0;500.00;500.00;0.00;0.00;0;0.00%;0;0;500.00;500.00;0.00;0.00;0;0.00%;0.00%;0.00%;
MR BRICOLAGE SPECIAL RENTREE 21 - 70461;2021 - RG INSTREAM - AR/LINFO/TF1/M6/DAILYMOTION;Confirmée;Non;28/07/2021;07/08/2021;28/07/2021;07/08/2021;SOREBRIC SAS - MR BRICOLAGE;AUFFRET Jerome;69469;69469;2216.06;2000.00;28.79;28.79;0;0.00%;69469;69469;2216.06;2000.00;28.79;28.79;0;0.00%;100.00%;0.00%;
NESPRESSO BTS 2021 - 70375;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;Confirmée;Non;23/08/2021;29/08/2021;23/08/2021;29/08/2021;DIMOMIX ;BONJOUR Cyrille;23638;23638;354.57;320.00;13.54;13.54;0;0.00%;23638;23638;354.57;320.00;13.54;13.54;0;0.00%;100.00%;0.00%;2021 RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ/OR
NESPRESSO BTS 2021 - 70375;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Confirmée;Non;23/08/2021;29/08/2021;23/08/2021;29/08/2021;DIMOMIX ;BONJOUR Cyrille;50230;50230;753.45;680.00;13.54;13.54;0;0.00%;50230;50230;753.45;680.00;13.54;13.54;0;0.00%;100.00%;0.00%;2021 RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ/OR
NESPRESSO BTS 2021 - 70375;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Confirmée;Non;23/08/2021;29/08/2021;23/08/2021;29/08/2021;DIMOMIX ;BONJOUR Cyrille;159556;159556;797.78;720.00;4.51;4.51;0;0.00%;159556;159556;797.78;720.00;4.51;4.51;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
NESPRESSO BTS 2021 - 70375;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Confirmée;Non;23/08/2021;29/08/2021;23/08/2021;29/08/2021;DIMOMIX ;BONJOUR Cyrille;172853;172853;864.27;780.00;4.51;4.51;0;0.00%;172853;172853;864.27;780.00;4.51;4.51;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
ODB - 68629;AOÛT DIFFUSION CATALOGUE RODZAFER ANNUEL;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;OPTIC DEVELOPPEMENT;BONJOUR Cyrille;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
OFFICE DE TOURISME SEYCHELLES - 70155;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;01/08/2021;15/08/2021;01/08/2021;15/08/2021;OFFICE DU TOURISME SEYCHELLES;AUFFRET Jerome;48000;48000;240.00;204.00;4.25;4.25;0;0.00%;48000;48000;240.00;204.00;4.25;4.25;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
OFFICE DE TOURISME SEYCHELLES - 70155;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;01/08/2021;15/08/2021;01/08/2021;15/08/2021;OFFICE DU TOURISME SEYCHELLES;AUFFRET Jerome;52000;52000;260.00;221.00;4.25;4.25;0;0.00%;52000;52000;260.00;221.00;4.25;4.25;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
OFFICE DE TOURISME SEYCHELLES - 70155;2020 - RG HABILLAGE - 2020 - HABILLAGE;Réservée;Non;01/08/2021;15/08/2021;01/08/2021;15/08/2021;OFFICE DU TOURISME SEYCHELLES;AUFFRET Jerome;73000;73000;438.00;372.30;5.10;5.10;0;0.00%;73000;73000;438.00;372.30;5.10;5.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB HABILLAGE RG AR/LINFO/DTJ
OFFICE DE TOURISME SEYCHELLES - 70155;2020 - HABILLAGE APP - 2020 - HABILLAGE APPLI;Réservée;Non;01/08/2021;15/08/2021;01/08/2021;15/08/2021;OFFICE DU TOURISME SEYCHELLES;AUFFRET Jerome;27000;27000;162.00;137.70;5.10;5.10;0;0.00%;27000;27000;162.00;137.70;5.10;5.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB HABILLAGE RG AR/LINFO/DTJ
OKAIDI - 69996;DIFFUSION CATALOGUE OFFERTE;Confirmée;Non;19/07/2021;16/08/2021;19/07/2021;16/08/2021;GHANTY FRANCHISES;AUFFRET Jerome;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
OKAIDI - 69996;EMPLACEMENT PREFERENTIEL SITE 2 SEMAINES;Confirmée;Non;19/07/2021;03/08/2021;19/07/2021;03/08/2021;GHANTY FRANCHISES;AUFFRET Jerome;0;0;150.00;150.00;0.00;0.00;0;0.00%;0;0;150.00;150.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ORANGE - 69923;REMONTEE CATALOGUE;Confirmée;Non;26/07/2021;18/08/2021;26/07/2021;18/08/2021;ORANGE REUNION SA;AUFFRET Jerome;0;0;300.00;300.00;0.00;0.00;0;0.00%;0;0;300.00;300.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ORANGE BANK - 69573;INTERSTITIEL SUR SITE + APPLI;Confirmée;Oui;09/08/2021;15/08/2021;09/08/2021;15/08/2021;ORANGE REUNION SA;AUFFRET Jerome;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0.00%;0.00%;
PICARD - 65912;DIFFUSION CATALOGUE RODZAFER AOUT;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SEMOI SAS;AUFFRET Jerome;0;0;90.91;90.91;0.00;0.00;0;0.00%;0;0;90.91;90.91;0.00;0.00;0;0.00%;0.00%;0.00%;
QUINCAILLERIE TSENG - 67711;AOUTDIFFUSION CATALOGUE RODZAFER>;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;QUINCAILLERIE TSENG;CATHERINE Kevin;0;0;83.33;83.33;0.00;0.00;0;0.00%;0;0;83.33;83.33;0.00;0.00;0;0.00%;0.00%;0.00%;
REGION REUNION - LE LOUVRE - 69316;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;16/08/2021;03/09/2021;16/08/2021;03/09/2021;REGION REUNION;BOSC Florent;288000;288000;1440.00;720.00;2.50;2.50;0;0.00%;288000;288000;1440.00;720.00;2.50;2.50;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
REGION REUNION - LE LOUVRE - 69316;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;16/08/2021;03/09/2021;16/08/2021;03/09/2021;REGION REUNION;BOSC Florent;312000;312000;1560.00;780.00;2.50;2.50;0;0.00%;312000;312000;1560.00;780.00;2.50;2.50;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
SCENTER / GIFI - 68970;AOUT DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;RAVATE DISTRIBUTION ;BOURSIER Estelle;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
SFR - 70114;DIFFUSION CATALOGUE OFFERTE;Confirmée;Non;28/07/2021;31/08/2021;28/07/2021;31/08/2021;SRR;BOURSIER Estelle;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SFR - 70114;PUSH * 2;Confirmée;Non;28/07/2021;31/08/2021;28/07/2021;31/08/2021;SRR;BOURSIER Estelle;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SFR - 70114;INTERSTITIEL APPLI + SITE;Confirmée;Oui;28/07/2021;31/08/2021;28/07/2021;31/08/2021;SRR;BOURSIER Estelle;0;0;1500.00;1500.00;0.00;0.00;0;0.00%;0;0;1500.00;1500.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SFR BACK TO SCHOOL MOBILE - 69852;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Confirmée;Oui;29/07/2021;06/08/2021;29/07/2021;06/08/2021;SRR;BOURSIER Estelle;169881;169881;2548.22;1815.60;10.69;10.69;0;0.00%;169881;169881;2548.22;1815.60;10.69;10.69;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ HORS OR
SFR BACK TO SCHOOL MOBILE - 69852;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;Confirmée;Oui;29/07/2021;06/08/2021;29/07/2021;06/08/2021;SRR;BOURSIER Estelle;79944;79944;1199.16;854.40;10.69;10.69;0;0.00%;79944;79944;1199.16;854.40;10.69;10.69;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ HORS OR
SFR BACK TO SCHOOL MOBILE - 69852;2020 - RG HABILLAGE - 2020 - HABILLAGE;Confirmée;Oui;07/08/2021;16/08/2021;07/08/2021;16/08/2021;SRR;BOURSIER Estelle;343228;343228;2059.37;1467.30;4.28;4.28;0;0.00%;343228;343228;2059.37;1467.30;4.28;4.28;0;0.00%;100.00%;0.00%;RESEAU ASB HABILLAGE RG AR/LINFO/DTJ HORS OR
SFR BACK TO SCHOOL MOBILE - 69852;2020 - HABILLAGE APP - 2020 - HABILLAGE APPLI;Confirmée;Oui;07/08/2021;16/08/2021;07/08/2021;16/08/2021;SRR;BOURSIER Estelle;126947;126947;761.68;542.70;4.27;4.28;0;0.00%;126947;126947;761.68;542.70;4.27;4.28;0;0.00%;100.00%;0.00%;RESEAU ASB HABILLAGE RG AR/LINFO/DTJ HORS OR
SFR BACK TO SCHOOL MOBILE - 69852;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Confirmée;Oui;07/08/2021;16/08/2021;07/08/2021;16/08/2021;SRR;BOURSIER Estelle;132553;132553;2385.96;1700.00;12.83;12.83;0;0.00%;132553;132553;2385.96;1700.00;12.83;12.83;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL VIDEO AR/LINFO/DTJ HORS OR
SFR BACK TO SCHOOL MOBILE - 69852;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;Confirmée;Oui;07/08/2021;16/08/2021;07/08/2021;16/08/2021;SRR;BOURSIER Estelle;62378;62378;1122.80;800.00;12.82;12.83;0;0.00%;62378;62378;1122.80;800.00;12.82;12.83;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL VIDEO AR/LINFO/DTJ HORS OR
SFR CAMPAGNE FIXE - 70231;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Confirmée;Oui;05/08/2021;18/08/2021;05/08/2021;18/08/2021;SRR;BOURSIER Estelle;254502;254502;3817.53;2720.00;10.69;10.69;0;0.00%;254502;254502;3817.53;2720.00;10.69;10.69;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ HORS OR
SFR CAMPAGNE FIXE - 70231;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;Confirmée;Oui;05/08/2021;18/08/2021;05/08/2021;18/08/2021;SRR;BOURSIER Estelle;119766;119766;1796.49;1280.00;10.69;10.69;0;0.00%;119766;119766;1796.49;1280.00;10.69;10.69;0;0.00%;100.00%;0.00%;RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ HORS OR
SFR CAMPAGNE FIXE - 70231;2020 - HABILLAGE APP - 2020 - HABILLAGE APPLI;Confirmée;Non;05/08/2021;23/08/2021;05/08/2021;23/08/2021;SRR;BOURSIER Estelle;126090;126090;756.54;539.03;4.27;4.27;0;0.00%;126090;126090;756.54;539.03;4.27;4.27;0;0.00%;100.00%;0.00%;RESEAU ASB HABILLAGE RG AR/LINFO/DTJ HORS OR
SFR CAMPAGNE FIXE - 70231;2021 - PREROLL AR/LINFO/TF1/M6/DAILYMOTION;Confirmée;Oui;05/08/2021;23/08/2021;05/08/2021;23/08/2021;SRR;BOURSIER Estelle;289980;289980;7017.52;5000.00;17.24;17.24;0;0.00%;289980;289980;7017.52;5000.00;17.24;17.24;0;0.00%;100.00%;0.00%;
SFR CAMPAGNE FIXE - 70231;2020 - RG HABILLAGE - 2020 - HABILLAGE;Confirmée;Oui;12/08/2021;23/08/2021;12/08/2021;23/08/2021;SRR;BOURSIER Estelle;340910;340910;2045.46;1457.40;4.28;4.28;0;0.00%;340910;340910;2045.46;1457.40;4.28;4.28;0;0.00%;100.00%;0.00%;RESEAU ASB HABILLAGE RG AR/LINFO/DTJ HORS OR
SHEEFOU - 67096;JUILLET AUTOPROMO RZ S/TV CITATION+VISIBILITE LOGO;Confirmée;Non;10/07/2021;10/08/2021;10/07/2021;10/08/2021;SHEEFOU;BOURSIER Estelle;0;0;363.64;363.64;0.00;0.00;0;0.00%;0;0;363.64;363.64;0.00;0.00;0;0.00%;0.00%;0.00%;
SHEEFOU - 67096;JUILLET DIFFUSION CATALOGUE EN GRATUITE;Confirmée;Non;10/07/2021;10/08/2021;10/07/2021;10/08/2021;SHEEFOU;BOURSIER Estelle;0;0;381.82;0.00;0.00;0.00;0;0.00%;0;0;381.82;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SHEEFOU - 67096;AOUT AUTOPROMO RZ S/TV CITATION+VISIBILITE LOGO;Confirmée;Non;10/08/2021;10/09/2021;10/08/2021;10/09/2021;SHEEFOU;BOURSIER Estelle;0;0;363.64;363.64;0.00;0.00;0;0.00%;0;0;363.64;363.64;0.00;0.00;0;0.00%;0.00%;0.00%;
SHEEFOU - 67096;AOUT DIFFUSION CATALOGUE EN GRATUITE;Confirmée;Non;10/08/2021;10/09/2021;10/08/2021;10/09/2021;SHEEFOU;BOURSIER Estelle;0;0;381.82;0.00;0.00;0.00;0;0.00%;0;0;381.82;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SPEED CLE SERVICES - 68395;AOUT  DIFFUSION CATALOGUE RODZAFER ANNUEL;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SPEED CLE SERVICES;AUFFRET Jerome;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
SUPER CATENA - 67713;AOUT PUSH RODZAFER ANNUEL;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SUPER CATENA;BONJOUR Cyrille;0;0;300.00;300.00;0.00;0.00;0;0.00%;0;0;300.00;300.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SUPER CATENA - 67713;AOUT DIFFUSION CATALOGUE ANNUEL RODZAFER OFFERTE;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SUPER CATENA;BONJOUR Cyrille;0;0;83.33;0.00;0.00;0.00;0;0.00%;0;0;83.33;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
SUPER POLYGONE - 64786;AOUT - OUVERTURE CATALOGUE RODZAFER;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;SAS ZLS;BOURSIER Estelle;0;0;83.33;83.33;0.00;0.00;0;0.00%;0;0;83.33;83.33;0.00;0.00;0;0.00%;0.00%;0.00%;
TATI RENTREE DES CLASSES - 70187;DIFFUSION CATALOGUE OFFERTE;Réservée;Non;31/07/2021;14/08/2021;31/07/2021;14/08/2021;RAVATE TISSUS ;AUFFRET Jerome;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
TATI RENTREE DES CLASSES - 70187;INTERSTITIEL SUR APPLI + SITE 2 SEMAINES;Réservée;Non;31/07/2021;14/08/2021;31/07/2021;14/08/2021;RAVATE TISSUS ;AUFFRET Jerome;0;0;2200.00;1540.00;0.00;0.00;0;0.00%;0;0;2200.00;1540.00;0.00;0.00;0;0.00%;0.00%;0.00%;
VALLY CONFECTION - 69859;AOÛT DIFFUSION CATALOGUE RODZAFER EN ILLIMITEE;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;VALLY CONFECTION;AUFFRET Jerome;0;0;83.33;83.33;0.00;0.00;0;0.00%;0;0;83.33;83.33;0.00;0.00;0;0.00%;0.00%;0.00%;
VOGUE RENTREE 2021 - 70285;2021 - RG INSTREAM - AR/LINFO/TF1/M6/DAILYMOTION;Confirmée;Oui;28/07/2021;08/08/2021;28/07/2021;08/08/2021;SAVANNAH DISTRIBUTION;AUFFRET Jerome;87591;87591;2216.06;2000.00;22.83;22.83;0;0.00%;87591;87591;2216.06;2000.00;22.83;22.83;0;0.00%;100.00%;0.00%;
ZEOP - 69505;AOUT FORFAIT ANNUEL DIFFUSION CATALOGUE RODZAFER ;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;ZEOP;BOSC Florent;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
ZEOP - 70349;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Confirmée;Non;09/08/2021;20/08/2021;09/08/2021;20/08/2021;ZEOP;BOSC Florent;111933;111933;1679.00;1359.99;12.15;12.15;0;0.00%;111933;111933;1679.00;1359.99;12.15;12.15;0;0.00%;100.00%;0.00%;2021 RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ
ZEOP - 70349;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;Confirmée;Non;09/08/2021;20/08/2021;09/08/2021;20/08/2021;ZEOP;BOSC Florent;52675;52675;790.13;640.01;12.15;12.15;0;0.00%;52675;52675;790.13;640.01;12.15;12.15;0;0.00%;100.00%;0.00%;2021 RESEAU ASB INTERSTITIEL RG AR/LINFO/DTJ
ZEOP - 70349;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Confirmée;Non;09/08/2021;20/08/2021;09/08/2021;20/08/2021;ZEOP;BOSC Florent;237037;237037;1185.19;960.00;4.05;4.05;0;0.00%;237037;237037;1185.19;960.00;4.05;4.05;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ
