Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
GAMM VERT  - 73189;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/01/2022;19/06/2022;964284;0;5785,74;4050,00;30,00;0,00;4,20;964284;0;4050,00;AGRI DEV
GAMM VERT  - 73196;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/01/2022;19/06/2022;141680;0;6000,00;4050,00;33,00;0,00;28,59;0;0;4050,00;AGRI DEV
GAMM VERT  - 73595;AGRI DEV;JA;CL;Demande;Non;Non;Non;Non;10/12/2021;15/12/2021;0;0;1250,00;1250,00;0,00;0,00;0,00;0;0;0,00;AGRI DEV
AHMOD ALI - 67714;AHMOD ALI;JA;CL;Confirmée;Non;Non;Non;Non;01/04/2021;31/03/2022;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;AHMOD ALI
AIR AUSTRAL  BLACK FRIDAY - 73588;AIR AUSTRAL ;FB;CL;Confirmée;Non;Non;Non;Non;23/11/2021;26/11/2021;800000;0;3300,00;2310,00;30,00;0,00;2,89;0;0;0,00;NAUTILUS MEDIARSENAL
AIR AUSTRAL  BLACK FRIDAY - 73610;AIR AUSTRAL ;BE;CL;Demande;Non;Non;Non;Non;23/11/2021;26/11/2021;5600;0;33,60;22,81;32,00;0,00;4,07;0;0;0,00;NAUTILUS MEDIARSENAL
AIR FRANCE PARR TOUS EN CUISINE - 71841;AIR FRANCE (REUNION);BE;EXTWB;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;0;0;875,00;875,00;0,00;0,00;0,00;0;0;875,00;AIR FRANCE (REUNION)
AIR FRANCE PARR TOUS EN CUISINE - 71842;AIR FRANCE (REUNION);BE;DIGOPS;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;800000;0;4500,00;2780,00;38,00;0,00;3,35;800000;0;2780,00;AIR FRANCE (REUNION)
AIR FRANCE PARR TOUS EN CUISINE - 72634;AIR FRANCE (REUNION);BE;PRODOP;Confirmée;Non;Non;Non;Non;07/10/2021;07/10/2021;0;0;890,00;890,00;0,00;0,00;0,00;0;0;890,00;AIR FRANCE (REUNION)
AIR FRANCE PARR TOUS EN CUISINE - 73338;AIR FRANCE (REUNION);BE;PRODOP;Confirmée;Non;Non;Non;Non;31/10/2021;31/10/2021;0;0;3000,00;3000,00;0,00;0,00;0,00;0;0;3000,00;AIR FRANCE (REUNION)
AIR FRANCE TOUS EN CUISINE - 71838;AIR FRANCE (REUNION);BE;PRODOP;Confirmée;Non;Non;Non;Non;07/10/2021;07/10/2021;0;0;220,00;220,00;0,00;0,00;0,00;0;0;220,00;AIR FRANCE (REUNION)
AIRLISE - 74256;AIRLISE;KC;DIGOPS;Option;Non;Non;Non;Non;03/01/2022;16/01/2022;560000;0;3800,00;1995,00;48,00;0,00;3,56;0;0;0,00;AIRLISE
AIRLISE - 74257;AIRLISE;KC;PRODOP;Option;Non;Non;Non;Non;03/01/2022;03/01/2022;0;0;505,00;505,00;0,00;0,00;0,00;0;0;505,00;AIRLISE
RODZAFER - 73664;ANTENNE REUNION TELEVISION;JA;CL;Demande;Non;Non;Non;Non;10/12/2021;15/12/2021;0;0;1250,00;1250,00;0,00;0,00;0,00;0;0;625,00;GAMM VERT
RODZAFER - 73668;ANTENNE REUNION TELEVISION;;CL;Demande;Non;Non;Non;Non;22/11/2021;30/11/2021;0;0;625,00;625,00;0,00;0,00;0,00;0;0;625,00;ANTENNE REUNION TELEVISION
ARIBEV - 72392;ARIBEV;BC;CL;Confirmée;Non;Non;Non;Non;06/10/2021;15/10/2021;600000;0;3000,00;2000,00;33,00;0,00;2,59;600000;0;2000,00;KAYAMB COMMUNICATION
ARIBEV - 72543;ARIBEV;BC;CL;Demande;Non;Non;Non;Non;15/11/2021;28/11/2021;349904;0;2332,70;2000,00;14,00;0,00;5,72;349904;0;2000,00;ZOORIT
COMPTOIR DU SURGELE - 64935;ARMEMENT DES MASCAREIGNES ;BC;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;ARMEMENT DES MASCAREIGNES 
COMPTOIR DU SURGELE - 72217;ARMEMENT DES MASCAREIGNES ;BC;PROD;Confirmée;Non;Non;Non;Non;24/09/2021;24/09/2021;0;0;400,00;400,00;0,00;0,00;0,00;0;0;400,00;ARMEMENT DES MASCAREIGNES 
COMPTOIR DU SURGELE - 73508;ARMEMENT DES MASCAREIGNES ;BC;PROD;Confirmée;Non;Non;Non;Non;08/11/2021;08/11/2021;0;0;890,00;890,00;0,00;0,00;0,00;0;0;890,00;ARMEMENT DES MASCAREIGNES 
COMPTOIR DU SURGELE - 73515;ARMEMENT DES MASCAREIGNES ;BC;FLS;Confirmée;Oui;Non;Non;Non;22/11/2021;28/11/2021;45454;0;1000,00;1000,00;0,00;0,00;22,00;0;0;0,00;ARMEMENT DES MASCAREIGNES 
COMPTOIR DU SURGELE - 74378;ARMEMENT DES MASCAREIGNES ;BC;PROD;Option;Non;Non;Non;Non;29/11/2021;29/11/2021;0;0;890,00;890,00;0,00;0,00;0,00;0;0;890,00;AGENCE MEDICIS (VITAMEDIA)
ATELIER BRIKO - 69717;ATELIER BRIKO;JA;CL;Demande;Non;Non;Non;Non;21/06/2021;05/07/2021;0;0;150,00;150,00;0,00;0,00;0,00;0;0;150,00;ATELIER BRIKO
ATELIER DU MENUISIER - 69196;ATELIER DU MENUISIER;BC;CL;Demande;Non;Non;Non;Non;27/08/2021;05/09/2021;550000;0;2150,00;1505,00;30,00;0,00;2,74;550000;0;1505,00;ATELIER DU MENUISIER
AU BON MARCHE VU SUR ANTENNE - 73571;AU BON MARCHE/AS CONCEPT STORE;AN;PRODOP;Confirmée;Non;Non;Non;Non;06/12/2021;06/12/2021;0;0;200,00;200,00;0,00;0,00;0,00;0;0;200,00;AU BON MARCHE/AS CONCEPT STORE
AUDIO + PARR MEILLEUR PATISSIER - 72589;AUDIO + (Saint Paul);BE;EXTWB;Confirmée;Oui;Non;Non;Non;29/10/2021;14/01/2022;197200;0;750,00;750,00;0,00;0,00;3,80;0;0;750,00;AUDIO + (Saint Paul)
AUTOMOBILE REUNION - 64893;AUTOMOBILES REUNION;BE;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;AUTOMOBILES REUNION
KOKOT PARR TOUS EN CUISINE - 71712;AVIFERME;BC;EXTWB;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;0;0;875,00;875,00;0,00;0,00;0,00;0;0;875,00;UNIT MEDIA
KOKOT PARR TOUS EN CUISINE - 71718;AVIFERME;BC;DIGOPS;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;800000;0;4500,00;2780,00;38,00;0,00;3,35;800000;0;2780,00;UNIT MEDIA
KOKOT PARR TOUS EN CUISINE - 71723;AVIFERME;BC;PRODOP;Confirmée;Non;Non;Non;Non;07/10/2021;07/10/2021;0;0;220,00;220,00;0,00;0,00;0,00;0;0;220,00;UNIT MEDIA
IMAGE ET SON - 71602;AVRUN;KC;CL;Confirmée;Oui;Non;Non;Non;04/09/2021;08/09/2021;170000;0;1020,00;850,00;17,00;0,00;5,00;170000;0;850,00;DIGITAL 1TO1 
CATCH ZENSECT PARR DALS - 73086;BAMYREX;BE;EXTWB;Confirmée;Non;Non;Non;Non;30/10/2021;27/11/2021;0;0;500,00;500,00;0,00;0,00;0,00;0;0;500,00;BAMYREX
CATCH ZENSECT PARR THE VOICE - 71692;BAMYREX;BE;EXTWB;Confirmée;Non;Non;Non;Non;12/09/2021;24/10/2021;0;0;500,00;500,00;0,00;0,00;0,00;0;0;500,00;BAMYREX
LAYS - 71411;BAMYREX;BE;IN;Confirmée;Oui;Non;Non;Non;06/09/2021;17/09/2021;14354;0;315,79;300,00;5,00;0,00;20,90;14354;0;300,00;SMART SHOPPER
BAMYTRUCK - 71182;BAMYTRUCKS;BE;CL;Confirmée;Oui;Non;Non;Non;01/09/2021;07/09/2021;626565;0;3007,52;2000,00;34,00;0,00;3,19;626565;0;2000,00;KAYAMB COMMUNICATION
