Campagne;Nom;Etat;PAD;Date de début prévue;Date de fin prévue;Date de début diffusée;Date de fin diffusée;Annonceur;Responsable commercial;Volume total prévu;Volume payant prévu;Brut prévu;Net prévu;CPM Net payant prévu;CMP Net total prévu;Volume clic prévu;Taux clic prévu;Volume total diffusé;Volume payant diffusé;Brut diffusé;Net diffusé;CPM Net payant diffusé;CMP Net total diffusé;Volume clic diffusé;Taux clic diffusé;Taux d'avancement;Taux d'avancement date;Groupe d'insertions
A LA VILLE DE PARIS - 70865;production billboard in/out Koh lanta pour VILLE DE PARIS ET SPORT ET LOISIRS;Confirmée;Oui;16/08/2021;16/08/2021;16/08/2021;16/08/2021;A LA VILLE DE PARIS;CATHERINE Kevin;0;0;1780,00;1780,00;0,00;0,00;0;0,00%;0;0;1780,00;1780,00;0,00;0,00;0;0,00%;0,00%;0,00%;
A LA VILLE DE PARIS - 73183;modif voix sur billboard;Confirmée;Non;27/10/2021;27/10/2021;27/10/2021;27/10/2021;A LA VILLE DE PARIS;CATHERINE Kevin;0;0;50,00;50,00;0,00;0,00;0;0,00%;0;0;50,00;50,00;0,00;0,00;0;0,00%;0,00%;0,00%;
A LA VILLE DE PARIS - 73229;production d'un spot de 20s;Confirmée;Non;31/12/2021;31/12/2021;31/12/2021;31/12/2021;A LA VILLE DE PARIS;CATHERINE Kevin;0;0;1450,00;1450,00;0,00;0,00;0;0,00%;0;0;1450,00;1450,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ABI FENG SHUI - 70726;modif spot 20s + rajout voix off féminine;Réservée;Non;06/08/2021;06/08/2021;06/08/2021;06/08/2021;ABI FENG SHUI;CATHERINE Kevin;0;0;890,00;890,00;0,00;0,00;0;0,00%;0;0;890,00;890,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ACTIVIA - 72657;2021 - RG INSTREAM 20s- AR/LINFO/TF1/M6/DAILYMOTION;Confirmée;Oui;12/10/2021;21/10/2021;12/10/2021;21/10/2021;SORELAIT ;BOURSIER Estelle;87591;87591;2216,06;2000,00;22,83;22,83;0;0,00%;87591;87591;2216,06;2000,00;22,83;22,83;0;0,00%;100,00%;100,00%;
ADAM'S - 71691;DIFFUSION CATALOGUE RODZAFER EN ILLIMITEE;Réservée;Non;13/10/2021;31/12/2021;13/10/2021;31/12/2021;ADAM FRERES ET FILS;CATHERINE Kevin;0;0;200,00;200,00;0,00;0,00;0;0,00%;0;0;200,00;200,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ADIE MICROCREDIT - 70756;BOOST FACEBOOK;Confirmée;Non;04/10/2021;08/10/2021;04/10/2021;08/10/2021;ADIE - DIRECTION REGIONALE REUNI;CATHERINE Kevin;0;0;200,00;200,00;0,00;0,00;0;0,00%;0;0;200,00;200,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ADIE MICROCREDIT - 70756;FORFAIT MODERATION;Confirmée;Non;04/10/2021;08/10/2021;04/10/2021;08/10/2021;ADIE - DIRECTION REGIONALE REUNI;CATHERINE Kevin;0;0;100,00;100,00;0,00;0,00;0;0,00%;0;0;100,00;100,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ADIE MICROCREDIT - 70757;2 POSTS FACEBOOK;Confirmée;Non;04/10/2021;08/10/2021;04/10/2021;08/10/2021;ADIE - DIRECTION REGIONALE REUNI;CATHERINE Kevin;0;0;1000,00;1000,00;0,00;0,00;0;0,00%;0;0;1000,00;1000,00;0,00;0,00;0;0,00%;0,00%;0,00%;
ADIR PARR KLB - 71980;SM_ANTENNEREUNION emissions/emissions/kanal_la_blague - 2020 - HABILLAGE - Exclu;Confirmée;Non;01/10/2021;12/12/2021;01/10/2021;12/12/2021;ADIR;BOSC Florent;42154;42154;750,00;750,00;17,79;17,79;0;0,00%;35800;35800;750,00;750,00;20,95;20,95;0;0,00%;84,93%;93,93%;
ADIR PARR KLB - 71980;SM_ANTENNEREUNION emissions/emissions/kanal_la_blague - 2020 - RECTANGLE - Exclu;Confirmée;Oui;01/10/2021;12/12/2021;01/10/2021;12/12/2021;ADIR;BOSC Florent;42154;42154;166,68;166,68;3,95;3,95;0;0,00%;35800;35800;166,68;166,68;4,66;4,66;0;0,00%;84,93%;93,93%;
