Campagne;Campagne (Filtres);Nom;Format;Etat;PAD;Date de début prévue;Date de fin prévue;Annonceur;Responsable commercial;Volume total prévu;Groupe d'insertions
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S DAILYMOTION;INSTREAM;Confirmée;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;18069;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S M6;INSTREAM;Confirmée;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;18069;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;INSTREAM 20S AR/LINFO;INSTREAM;Confirmée;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;62112;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S TF1;INSTREAM;Confirmée;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;14681;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ADAM'S - 60168;ADAM'S - 60168;OUVERTURE CATALOGUE RODZAFER;-;Confirmée;Non;01/07/2020;31/07/2020;ADAM FRERES ET FILS;NAYAGOM Alexandre;1000;
ADAM'S - 60922;ADAM'S - 60922;OUVERTURE CATALOGUE RODZAFER;-;Confirmée;Non;01/08/2020;31/08/2020;ADAM FRERES ET FILS;NAYAGOM Alexandre;1000;
ADAM'S - 61892;ADAM'S - 61892;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Réservée;Non;05/09/2020;30/09/2020;ADAM FRERES ET FILS;AUFFRET Jerome;0;
