campagne;campagne_(filtres);nom;format;etat;PAD;date_de_debut_prevue;date_de_fin_prevue;annonceur;Responsable commercial;volume_total_prevu;Groupe d'insertions
CREDIT AGRICOLE - 59165;CREDIT AGRICOLE - 59165;instream-video 30s tf1;INSTREAM;Confirmee;Non;22/06/2020;05/07/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;16297;
CREDIT AGRICOLE - 62238;CREDIT AGRICOLE - 62238;PRODUCTION ARTICLE;-;Confirmee;Non;12/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;0;
CREDIT AGRICOLE - 62238;CREDIT AGRICOLE - 62238;BUDGET BOOST FACEBOOK X 1;-;Confirmee;Non;12/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;0;
CREDIT AGRICOLE - 62238;CREDIT AGRICOLE - 62238;PRODUCTION FORMATS;-;Confirmee;Non;12/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;0;
CREDIT AGRICOLE - 62238;CREDIT AGRICOLE - 62238;REDACTION ARTICLE;-;Confirmee;Non;12/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;0;
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;MASTHEAD SUR APPLI AR/LINFO;MASTHEAD;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;150000;2020 RESEAU ASB MASTHEAD RG SUR AR/LINFO
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;GRAND ANGLE SUR APPLI AR/LINFO;GRAND ANGLE;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;90000;2020 RESEAU ASB GRAND ANGLE RG AR/LINFO
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;DTJ 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;12000;2020 RESEAU ASB GRAND ANGLE RG AR/LINFO
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;1 PUBLICATION FACEBOOK PROMOTION DU DOSSIER;-;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;0;
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;NATIVE ADS PROMOTION DU DOSSIER EN HP LINFO.RE;NATIVE ADS;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;80000;
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;AR 2020 - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;350000;2020 RESEAU ASB MASTHEAD RG SUR AR/LINFO
CREDIT AGRICOLE - ALON PLANTE - 62231;CREDIT AGRICOLE - ALON PLANTE - 62231;AR 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;13/10/2020;26/10/2020;CREDIT AGRICOLE MUTUEL REUNION;LACOUTURE Juliette;198000;2020 RESEAU ASB GRAND ANGLE RG AR/LINFO
CRITEO - 61884;CRITEO - 61884;presence sur linfo/ar en juillet 2020;-;Confirmee;Non;01/07/2020;31/07/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRITEO - 61884;CRITEO - 61884;presence sur dtj en juillet 2020;-;Confirmee;Non;01/07/2020;31/07/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRITEO - 62753;CRITEO - 62753;presence sur dtj en août 2020;-;Confirmee;Non;01/08/2020;31/08/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRITEO - 62753;CRITEO - 62753;presence sur linfo/ar en août 2020;-;Confirmee;Non;01/08/2020;31/08/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRITEO - 63790;CRITEO - 63790;presence sur dtj en septembre 2020;-;Confirmee;Non;01/09/2020;30/09/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRITEO - 63790;CRITEO - 63790;presence sur linfo/ar en septembre 2020;-;Confirmee;Non;01/09/2020;30/09/2020;CRITEO;ANTENNE REUNION Publicité;0;
CRPMEM - 62356;CRPMEM - 62356;INSTREAM 25S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Reservee;Non;07/12/2020;20/12/2020;CRPMEM;BONJOUR Cyrille;68158;INSTREAM 25S AR/LINFO/TF1/M6/DAILYMOTION
CUIR CENTER - 60664;CUIR CENTER - 60664;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;22/07/2020;15/08/2020;MOBILIO SARL;AUFFRET Jerome;0;
CUIR CENTER SEPTEMBRE 2020  - 61224;CUIR CENTER SEPTEMBRE 2020  - 61224;OR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;05/09/2020;13/09/2020;MOBILIO SARL;BONJOUR Cyrille;33750;2020 RESEAU ASB INTERSTITIEL RG
CUIR CENTER SEPTEMBRE 2020  - 61224;CUIR CENTER SEPTEMBRE 2020  - 61224;INTERSTITIEL SUR APPLI ACTU REUNION;INTERSTITIEL;Confirmee;Non;05/09/2020;13/09/2020;MOBILIO SARL;BONJOUR Cyrille;6750;2020 RESEAU ASB INTERSTITIEL RG
CUIR CENTER SEPTEMBRE 2020  - 61224;CUIR CENTER SEPTEMBRE 2020  - 61224;DTJ 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;05/09/2020;13/09/2020;MOBILIO SARL;BONJOUR Cyrille;5400;2020 RESEAU ASB INTERSTITIEL RG
CUIR CENTER SEPTEMBRE 2020  - 61224;CUIR CENTER SEPTEMBRE 2020  - 61224;INTERSTITIEL SUR APPLI AR/LINFO;INTERSTITIEL;Confirmee;Non;05/09/2020;13/09/2020;MOBILIO SARL;BONJOUR Cyrille;22950;2020 RESEAU ASB INTERSTITIEL RG
CUIR CENTER SEPTEMBRE 2020  - 61224;CUIR CENTER SEPTEMBRE 2020  - 61224;AR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;05/09/2020;13/09/2020;MOBILIO SARL;BONJOUR Cyrille;66150;2020 RESEAU ASB INTERSTITIEL RG
CYCLAMED PAR METEO - 63543;CYCLAMED PAR METEO - 63543;SM_ANTENNEREUNION info_et_magazines//meteo, SM_LINFO.re meteo - 2020 - MASTHEAD - Exclu;-;Confirmee;Non;01/11/2020;30/11/2020;CYCLAMED;TF1 TF1;113400;extension parrainage : METEO
CYCLAMED PAR METEO - 63543;CYCLAMED PAR METEO - 63543;SM_ANTENNEREUNION info_et_magazines//meteo, SM_LINFO.re meteo - 2020 - HABILLAGE - Exclu;HABILLAGE;Confirmee;Non;01/11/2020;30/11/2020;CYCLAMED;TF1 TF1;113400;extension parrainage : METEO
CYCLAMED PAR METEO - 63543;CYCLAMED PAR METEO - 63543;SM_ANTENNEREUNION info_et_magazines//meteo, SM_LINFO.re meteo - 2020 - RECTANGLE - Exclu;-;Confirmee;Non;01/11/2020;30/11/2020;CYCLAMED;TF1 TF1;113400;extension parrainage : METEO
CYCLAMED PAR METEO - 63543;CYCLAMED PAR METEO - 63543;SM_ANTENNEREUNION info_et_magazines//meteo, SM_LINFO.re meteo - 2020 - LOGO - Exclu;LOGO;Confirmee;Non;01/11/2020;30/11/2020;CYCLAMED;TF1 TF1;113400;extension parrainage : METEO
CYCLAMED PARR FCLM - 61293;CYCLAMED PARR FCLM - 61293;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;2023611;
CYCLAMED PARR FCLM - 61293;CYCLAMED PARR FCLM - 61293;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;141103;
CYCLAMED PARR FCLM - 61293;CYCLAMED PARR FCLM - 61293;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;1066523;
CYCLAMED PARR FCLM - 61293;CYCLAMED PARR FCLM - 61293;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;143314;
CYCLAMED PARR PACK  AMOR - 59781;CYCLAMED PARR PACK  AMOR - 59781;PORTAIL ART 2014 /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Les Bracelets Rouges, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Ma vie sans elle - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/07/2020;31/07/2020;CYCLAMED;TF1 TF1;39921;extension web / PACK AMOR
CYCLAMED PARR PACK  AMOR - 59781;CYCLAMED PARR PACK  AMOR - 59781;PORTAIL ART 2014 /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Les Bracelets Rouges, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Ma vie sans elle - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/07/2020;31/07/2020;CYCLAMED;TF1 TF1;18399;extension web / PACK AMOR
CYCLAMED PARR PACK  AMOR - 59781;CYCLAMED PARR PACK  AMOR - 59781;PORTAIL ART 2014 /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Les Bracelets Rouges, /Programmes/Series et Fictions/Les Bracelets Rouges, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Ma vie sans elle - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/07/2020;31/07/2020;CYCLAMED;TF1 TF1;1290809;extension web / PACK AMOR
CYCLAMED PARR PACK  AMOR - 59781;CYCLAMED PARR PACK  AMOR - 59781;PORTAIL ART 2014 /Programmes/Series et Fictions/Kumkum Bhagya, /Programmes/Series et Fictions/Les Bracelets Rouges, /Programmes/Series et Fictions/Les Feux de l'amour, /Programmes/Series et Fictions/Ma vie sans elle - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/07/2020;31/07/2020;CYCLAMED;TF1 TF1;24403;extension web / PACK AMOR
CYCLAMED PARR PACK LADIES - 61294;CYCLAMED PARR PACK LADIES - 61294;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;2023611;
CYCLAMED PARR PACK LADIES - 61294;CYCLAMED PARR PACK LADIES - 61294;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;141103;
CYCLAMED PARR PACK LADIES - 61294;CYCLAMED PARR PACK LADIES - 61294;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;143314;
CYCLAMED PARR PACK LADIES - 61294;CYCLAMED PARR PACK LADIES - 61294;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/09/2020;30/09/2020;CYCLAMED;TF1 TF1;1066523;
DANONE OIKOS CITRON - 63608;DANONE OIKOS CITRON - 63608;2020 - RG INSTREAM - 2020 - INSTREAM;INSTREAM;Confirmee;Non;06/11/2020;16/11/2020;SORELAIT ;BOURSIER Estelle;83248;
DEAL SECURITE ROUTIERE - 61691;DEAL SECURITE ROUTIERE - 61691;modification spot avec integration de 2 logos dans le pack shot;LOGO;Confirmee;Non;27/08/2020;27/08/2020;DEAL REUNION;VIRAMOUTOU David;0;
DEPARTEMENT CHALLENGE CREATEURS - 61835;DEPARTEMENT CHALLENGE CREATEURS - 61835;or - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;15/09/2020;16/10/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;116337;20-RESEAU ASB-GRAND ANGLE RG
DEPARTEMENT CHALLENGE CREATEURS - 61835;DEPARTEMENT CHALLENGE CREATEURS - 61835;grand angle sur app linfo/ar;GRAND ANGLE;Confirmee;Non;15/09/2020;16/10/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;62046;20-RESEAU ASB-GRAND ANGLE RG
DEPARTEMENT CHALLENGE CREATEURS - 61835;DEPARTEMENT CHALLENGE CREATEURS - 61835;ar - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;15/09/2020;16/10/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;193895;20-RESEAU ASB-GRAND ANGLE RG
DEPARTEMENT CHALLENGE CREATEURS - 61835;DEPARTEMENT CHALLENGE CREATEURS - 61835;dtj - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;15/09/2020;16/10/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;15512;20-RESEAU ASB-GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020 - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;192000;V1 - 2020 RESEAU ASB HABILLAGE RG HORS OR
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;6000;V1 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;73500;V1 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;OR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;37500;V1 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;INTERSTITIEL SUR APPLI AR/LINFO;INTERSTITIEL;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;25500;V1 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;INTERSTITIEL SUR APPLI ACTU REUNION;INTERSTITIEL;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;7500;V1 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;11200;V1 - RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;OR 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;84000;V1 - RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;GRAND ANGLE SUR APPLI AR/LINFO;GRAND ANGLE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;44800;V1 - RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020- RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;140000;V1 - RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;27/07/2020;02/08/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;8000;V1 - 2020 RESEAU ASB HABILLAGE RG HORS OR
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;6000;V2 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;INTERSTITIEL SUR APPLI ACTU REUNION;INTERSTITIEL;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;7500;V2 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;OR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;37500;V2 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;INTERSTITIEL SUR APPLI AR/LINFO;INTERSTITIEL;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;25500;V2 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;73500;V2 - 2020 RESEAU ASB INTERSTITIEL RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;11200;V2 - 2020 RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;GRAND ANGLE SUR APPLI AR/LINFO;GRAND ANGLE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;44800;V2 - 2020 RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;DTJ 2020 - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;8000;V2 - 2020 RESEAU ASB HABILLAGE HORS OR
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020 - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;192000;V2 - 2020 RESEAU ASB HABILLAGE HORS OR
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;OR 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;84000;V2 - 2020 RESEAU ASB GRAND ANGLE RG
DEPARTEMENT RSA - 60354;DEPARTEMENT RSA - 60354;AR 2020 - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;27/08/2020;02/09/2020;DEPARTEMENT DE LA REUNION;VIRAMOUTOU David;140000;V2 - 2020 RESEAU ASB GRAND ANGLE RG
DESTO-K - 62293;DESTO-K - 62293;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/10/2020;14/11/2020;DESTO-K;AUFFRET Jerome;2000;
DESTO-K - 62293;DESTO-K - 62293;PUSH;-;Confirmee;Non;02/10/2020;02/10/2020;DESTO-K;AUFFRET Jerome;0;
DIEGO PARR KANAL LA BLAGUE - 57275;DIEGO PARR KANAL LA BLAGUE - 57275;Exploitation de licence de marque KLB en TV;-;Confirmee;Non;27/01/2020;18/12/2020;CILAM L&J;HORNEZ Florent;0;
DIEGO PARR KANAL LA BLAGUE - 61668;DIEGO PARR KANAL LA BLAGUE - 61668;PORTAIL ART 2014 /Programmes/Emissions/KLB, /Programmes/Emissions/KLB, /Programmes/Emissions/KLB - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/09/2020;31/10/2020;CILAM L&J;HORNEZ Florent;7296;
DIEGO PARR KANAL LA BLAGUE - 61668;DIEGO PARR KANAL LA BLAGUE - 61668;PORTAIL ART 2014 /Programmes/Emissions/KLB - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/09/2020;31/10/2020;CILAM L&J;HORNEZ Florent;1133;
DIEGO PARR KANAL LA BLAGUE - 61668;DIEGO PARR KANAL LA BLAGUE - 61668;PORTAIL ART 2014 /Programmes/Emissions/KLB - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/09/2020;31/10/2020;CILAM L&J;HORNEZ Florent;2345;
DIEGO PARR KANAL LA BLAGUE - 61668;DIEGO PARR KANAL LA BLAGUE - 61668;PORTAIL ART 2014 /Programmes/Emissions/KLB - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/09/2020;31/10/2020;CILAM L&J;HORNEZ Florent;1321;
DMSOI - 62735;DMSOI - 62735;MASTHEAD SUR APPLI AR/LINFO;MASTHEAD;Confirmee;Non;29/09/2020;05/10/2020;DMSOI;LACOUTURE Juliette;136000;2020 RESEAU ASB MASTHEAD RG
DMSOI - 62735;DMSOI - 62735;AR 2020 - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;29/09/2020;05/10/2020;DMSOI;LACOUTURE Juliette;424000;2020 RESEAU ASB MASTHEAD RG
DMSOI - 62735;DMSOI - 62735;OR 2020 - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;29/09/2020;05/10/2020;DMSOI;LACOUTURE Juliette;200000;2020 RESEAU ASB MASTHEAD RG
DMSOI - 62735;DMSOI - 62735;MASTHEAD SUR APPLI OR;MASTHEAD;Confirmee;Non;29/09/2020;05/10/2020;DMSOI;LACOUTURE Juliette;40000;2020 RESEAU ASB MASTHEAD RG
EDENA - 61054;EDENA - 61054;PRODUCTION SPOT 6S EN INFOGRAPHIE PARRAINAGE KOH LANTA;-;Confirmee;Non;06/08/2020;06/08/2020;EDENA ;VIRAMOUTOU David;0;
EDENA - 61058;EDENA - 61058;PRODUCTION HABILLAGE PARRAINAGE KOH LANTA;HABILLAGE;Confirmee;Non;06/08/2020;06/08/2020;EDENA ;VIRAMOUTOU David;0;
EDENA CITRO PARR KOH LANTA - 61190;EDENA CITRO PARR KOH LANTA - 61190;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;29/08/2020;28/11/2020;EDENA ;VIRAMOUTOU David;2987560;
EDENA CITRO PARR KOH LANTA - 61190;EDENA CITRO PARR KOH LANTA - 61190;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;29/08/2020;28/11/2020;EDENA ;VIRAMOUTOU David;422461;
EDENA CITRO PARR KOH LANTA - 61190;EDENA CITRO PARR KOH LANTA - 61190;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;29/08/2020;28/11/2020;EDENA ;VIRAMOUTOU David;414450;
EDENA CITRO PARR KOH LANTA - 61190;EDENA CITRO PARR KOH LANTA - 61190;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;29/08/2020;28/11/2020;EDENA ;VIRAMOUTOU David;5382709;
EDENA MISS REUNION - 62427;EDENA MISS REUNION - 62427;production tv;-;Confirmee;Non;30/09/2020;30/09/2020;EDENA ;VIRAMOUTOU David;0;
EDENA PAR THE VOICE KIDS - 61175;EDENA PAR THE VOICE KIDS - 61175;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;23/08/2020;25/10/2020;EDENA ;VIRAMOUTOU David;2295708;
EDENA PAR THE VOICE KIDS - 61175;EDENA PAR THE VOICE KIDS - 61175;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;23/08/2020;25/10/2020;EDENA ;VIRAMOUTOU David;4251037;
EDENA PAR THE VOICE KIDS - 61175;EDENA PAR THE VOICE KIDS - 61175;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;23/08/2020;25/10/2020;EDENA ;VIRAMOUTOU David;303056;
EDENA PAR THE VOICE KIDS - 61175;EDENA PAR THE VOICE KIDS - 61175;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;23/08/2020;25/10/2020;EDENA ;VIRAMOUTOU David;310529;
EDF - 60409;EDF - 60409;instream video de 45s exclusivement sur DAILYMOTION;INSTREAM;Confirmee;Non;03/08/2020;16/08/2020;EDF PAIEMENTS (REUNION);BONJOUR Cyrille;90000;
EDF - 60409;EDF - 60409;LINFO/AR RG RESEAU ARP - RECTANGLE - Rectangle - 300x250;GRAND ANGLE;Confirmee;Non;03/08/2020;16/08/2020;EDF PAIEMENTS (REUNION);BONJOUR Cyrille;410000;
EDF PARR METEO - 60582;EDF PARR METEO - 60582;PORTAIL ART 2014 /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/08/2020;31/08/2020;EDF PAIEMENTS (REUNION);BONJOUR Cyrille;1067;
EDF PARR METEO - 60582;EDF PARR METEO - 60582;PORTAIL ART 2014 /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/08/2020;31/08/2020;EDF PAIEMENTS (REUNION);BONJOUR Cyrille;932;
